"Year,Age,ID_sex,ID_np,M_come,M_out"
"2014,9,0,1,93,91"
"2014,10,0,1,85,77"
"2014,11,0,1,72,61"
"2014,12,0,1,71,52"
"2014,13,0,1,50,55"
"2014,14,0,1,72,64"
"2014,15,0,1,191,107"
"2014,16,0,1,535,290"
"2014,17,0,1,570,418"
"2014,18,0,1,897,834"
"2014,19,0,1,667,531"
"2014,20,0,1,577,518"
"2014,21,0,1,370,383"
"2014,22,0,1,426,399"
"2014,23,0,1,438,404"
"2014,24,0,1,528,373"
"2014,25,0,1,479,441"
"2014,26,0,1,538,448"
"2014,27,0,1,507,419"
"2014,28,0,1,452,394"
"2014,29,0,1,431,351"
"2014,30,0,1,379,306"
"2014,31,0,1,313,295"
"2014,32,0,1,267,266"
"2014,33,0,1,261,251"
"2014,34,0,1,230,203"
"2014,35,0,1,212,188"
"2014,36,0,1,158,183"
"2014,37,0,1,152,150"
"2014,38,0,1,135,137"
"2014,39,0,1,131,117"
"2014,40,0,1,113,123"
"2014,41,0,1,96,103"
"2014,42,0,1,92,90"
"2014,43,0,1,67,86"
"2014,44,0,1,84,88"
"2014,45,0,1,74,91"
"2014,46,0,1,71,64"
"2014,47,0,1,86,82"
"2014,48,0,1,70,85"
"2014,49,0,1,66,91"
"2014,50,0,1,68,83"
"2014,51,0,1,78,75"
"2014,52,0,1,89,94"
"2014,53,0,1,81,84"
"2014,54,0,1,80,76"
"2014,55,0,1,105,104"
"2014,56,0,1,95,86"
"2014,57,0,1,79,81"
"2014,58,0,1,72,80"
"2014,59,0,1,81,88"
"2014,60,0,1,80,90"
"2014,61,0,1,68,73"
"2014,62,0,1,63,81"
"2014,63,0,1,58,77"
"2014,64,0,1,61,60"
"2014,65,0,1,48,62"
"2014,66,0,1,27,42"
"2014,67,0,1,37,40"
"2014,68,0,1,17,27"
"2014,69,0,1,22,20"
"2014,70,0,1,32,22"
"2014,71,0,1,18,19"
"2014,72,0,1,34,42"
"2014,73,0,1,41,32"
"2014,74,0,1,40,38"
"2014,75,0,1,46,43"
"2014,76,0,1,33,30"
"2014,77,0,1,32,26"
"2014,78,0,1,39,28"
"2014,79,0,1,24,21"
"2014,80,0,1,39,28"
"2014,81,0,1,44,30"
"2014,82,0,1,36,31"
"2014,83,0,1,30,28"
"2014,84,0,1,23,24"
"2014,85,0,1,22,20"
"2014,86,0,1,13,18"
"2014,87,0,1,15,9"
"2014,88,0,1,11,8"
"2014,89,0,1,12,9"
"2014,90,0,1,9,5"
"2014,91,0,1,8,8"
"2014,92,0,1,6,6"
"2014,93,0,1,4,5"
"2014,94,0,1,4,5"
"2014,95,0,1,3,2"
"2014,96,0,1,4,1"
"2014,97,0,1,1,2"
"2014,98,0,1,1,0"
"2014,99,0,1,1,0"
"2014,100,0,1,0,2"
"2014,0,0,0,139,176"
"2014,1,0,0,185,248"
"2014,2,0,0,172,233"
"2014,3,0,0,133,153"
"2014,4,0,0,141,180"
"2014,5,0,0,132,168"
"2014,6,0,0,159,242"
"2014,7,0,0,137,149"
"2014,8,0,0,83,124"
"2014,9,0,0,88,96"
"2014,10,0,0,90,119"
"2014,11,0,0,72,89"
"2014,12,0,0,62,78"
"2014,13,0,0,56,62"
"2014,14,0,0,73,85"
"2014,15,0,0,120,209"
"2014,16,0,0,303,584"
"2014,17,0,0,336,535"
"2014,18,0,0,402,720"
"2014,19,0,0,314,449"
"2014,20,0,0,362,424"
"2014,21,0,0,295,307"
"2014,22,0,0,358,363"
"2014,23,0,0,343,447"
"2014,24,0,0,313,487"
"2014,25,0,0,356,481"
"2014,26,0,0,352,503"
"2014,27,0,0,335,544"
"2014,28,0,0,332,450"
"2014,29,0,0,287,410"
"2014,30,0,0,273,411"
"2014,31,0,0,249,341"
"2014,32,0,0,206,283"
"2014,33,0,0,182,259"
"2014,34,0,0,151,219"
"2014,35,0,0,145,208"
"2014,36,0,0,149,154"
"2014,37,0,0,113,133"
"2014,38,0,0,111,112"
"2014,39,0,0,88,115"
"2014,40,0,0,90,103"
"2014,41,0,0,91,87"
"2014,42,0,0,77,68"
"2014,43,0,0,67,66"
"2014,44,0,0,64,72"
"2014,45,0,0,70,81"
"2014,46,0,0,53,58"
"2014,47,0,0,54,62"
"2014,48,0,0,62,50"
"2014,49,0,0,75,57"
"2014,50,0,0,75,49"
"2014,51,0,0,63,57"
"2014,52,0,0,83,77"
"2014,53,0,0,75,55"
"2014,54,0,0,85,80"
"2014,55,0,0,89,94"
"2014,56,0,0,80,82"
"2014,57,0,0,70,78"
"2014,58,0,0,80,65"
"2014,59,0,0,69,64"
"2014,60,0,0,71,80"
"2014,61,0,0,69,57"
"2014,62,0,0,62,58"
"2014,63,0,0,63,54"
"2014,64,0,0,45,45"
"2014,65,0,0,49,45"
"2014,66,0,0,41,22"
"2014,67,0,0,38,31"
"2014,68,0,0,22,22"
"2014,69,0,0,16,17"
"2014,70,0,0,13,23"
"2014,71,0,0,17,16"
"2014,72,0,0,29,35"
"2014,73,0,0,24,34"
"2014,100,0,0,1,1"
"2014,74,0,0,29,38"
"2014,75,0,0,34,47"
"2014,76,0,0,28,35"
"2014,77,0,0,31,31"
"2014,78,0,0,20,34"
"2014,79,0,0,16,25"
"2014,80,0,0,25,30"
"2014,81,0,0,24,34"
"2014,82,0,0,32,37"
"2014,83,0,0,23,31"
"2014,84,0,0,24,32"
"2014,85,0,0,17,23"
"2014,86,0,0,17,15"
"2014,87,0,0,15,22"
"2014,88,0,0,10,17"
"2014,89,0,0,10,14"
"2014,90,0,0,12,14"
"2014,91,0,0,6,8"
"2014,92,0,0,5,7"
"2014,93,0,0,6,5"
"2014,94,0,0,3,5"
"2014,95,0,0,1,2"
"2014,96,0,0,1,3"
"2014,97,0,0,2,1"
"2014,98,0,0,1,2"
"2014,99,0,0,0,0"
"2015,99,0,0,0,0"
"2015,98,0,0,1,1"
"2015,97,0,0,2,1"
"2015,96,0,0,1,3"
"2015,95,0,0,1,2"
"2015,94,0,0,3,6"
"2015,93,0,0,6,5"
"2015,92,0,0,5,7"
"2015,91,0,0,6,8"
"2015,90,0,0,12,13"
"2015,89,0,0,11,13"
"2015,88,0,0,11,16"
"2015,87,0,0,15,20"
"2015,86,0,0,18,14"
"2015,85,0,0,17,21"
"2015,84,0,0,25,30"
"2015,83,0,0,24,28"
"2015,82,0,0,33,34"
"2015,81,0,0,25,31"
"2015,80,0,0,26,28"
"2015,79,0,0,24,29"
"2015,78,0,0,19,36"
"2015,77,0,0,30,31"
"2015,76,0,0,33,31"
"2015,75,0,0,36,45"
"2015,74,0,0,17,17"
"2015,100,0,0,1,1"
"2015,73,0,0,28,22"
"2015,72,0,0,16,20"
"2015,71,0,0,12,10"
"2015,70,0,0,22,12"
"2015,69,0,0,27,16"
"2015,68,0,0,47,35"
"2015,67,0,0,32,34"
"2015,66,0,0,59,41"
"2015,65,0,0,62,36"
"2015,64,0,0,71,41"
"2015,63,0,0,54,55"
"2015,62,0,0,59,42"
"2015,61,0,0,64,56"
"2015,60,0,0,87,61"
"2015,59,0,0,83,61"
"2015,58,0,0,77,62"
"2015,57,0,0,91,53"
"2015,56,0,0,114,79"
"2015,55,0,0,104,77"
"2015,54,0,0,89,70"
"2015,53,0,0,73,67"
"2015,52,0,0,63,65"
"2015,51,0,0,71,64"
"2015,50,0,0,64,58"
"2015,49,0,0,65,48"
"2015,48,0,0,65,59"
"2015,47,0,0,64,46"
"2015,46,0,0,49,63"
"2015,45,0,0,82,73"
"2015,44,0,0,87,60"
"2015,43,0,0,64,54"
"2015,42,0,0,76,88"
"2015,41,0,0,115,84"
"2015,40,0,0,129,105"
"2015,39,0,0,121,120"
"2015,38,0,0,106,124"
"2015,37,0,0,154,158"
"2015,36,0,0,180,177"
"2015,35,0,0,159,174"
"2015,34,0,0,195,227"
"2015,33,0,0,216,235"
"2015,32,0,0,250,293"
"2015,31,0,0,271,325"
"2015,30,0,0,296,329"
"2015,29,0,0,292,374"
"2015,28,0,0,340,435"
"2015,27,0,0,372,480"
"2015,26,0,0,376,471"
"2015,25,0,0,369,425"
"2015,24,0,0,363,434"
"2015,23,0,0,356,391"
"2015,22,0,0,432,328"
"2015,21,0,0,467,305"
"2015,20,0,0,469,364"
"2015,19,0,0,701,433"
"2015,18,0,0,541,730"
"2015,17,0,0,224,518"
"2015,16,0,0,192,557"
"2015,15,0,0,86,218"
"2015,14,0,0,70,63"
"2015,13,0,0,69,81"
"2015,12,0,0,89,90"
"2015,11,0,0,78,95"
"2015,10,0,0,104,85"
"2015,9,0,0,88,97"
"2015,8,0,0,118,109"
"2015,7,0,0,155,167"
"2015,6,0,0,150,261"
"2015,5,0,0,131,144"
"2015,4,0,0,180,183"
"2015,3,0,0,180,192"
"2015,2,0,0,203,216"
"2015,1,0,0,180,192"
"2015,0,0,0,126,121"
"2015,100,0,1,0,1"
"2015,99,0,1,0,0"
"2015,98,0,1,1,1"
"2015,97,0,1,1,1"
"2015,96,0,1,3,1"
"2015,95,0,1,2,2"
"2015,94,0,1,2,3"
"2015,93,0,1,3,5"
"2015,92,0,1,4,4"
"2015,91,0,1,6,6"
"2015,90,0,1,6,3"
"2015,89,0,1,9,7"
"2015,88,0,1,8,7"
"2015,87,0,1,11,7"
"2015,86,0,1,9,13"
"2015,85,0,1,16,15"
"2015,84,0,1,17,18"
"2015,83,0,1,21,21"
"2015,82,0,1,25,23"
"2015,81,0,1,31,24"
"2015,80,0,1,28,21"
"2015,79,0,1,33,22"
"2015,78,0,1,35,35"
"2015,77,0,1,37,29"
"2015,76,0,1,47,38"
"2015,75,0,1,41,53"
"2015,74,0,1,33,28"
"2015,73,0,1,19,34"
"2015,72,0,1,12,17"
"2015,71,0,1,9,15"
"2015,70,0,1,14,20"
"2015,69,0,1,17,30"
"2015,68,0,1,30,39"
"2015,67,0,1,41,38"
"2015,66,0,1,38,69"
"2015,65,0,1,42,67"
"2015,64,0,1,61,87"
"2015,63,0,1,63,73"
"2015,62,0,1,55,80"
"2015,61,0,1,63,79"
"2015,60,0,1,77,107"
"2015,59,0,1,59,104"
"2015,58,0,1,74,100"
"2015,57,0,1,63,107"
"2015,56,0,1,96,115"
"2015,55,0,1,89,110"
"2015,54,0,1,87,123"
"2015,53,0,1,77,100"
"2015,52,0,1,61,88"
"2015,51,0,1,66,89"
"2015,50,0,1,62,74"
"2015,49,0,1,56,86"
"2015,48,0,1,62,87"
"2015,47,0,1,76,90"
"2015,46,0,1,67,73"
"2015,45,0,1,72,89"
"2015,44,0,1,68,99"
"2015,43,0,1,60,108"
"2015,42,0,1,92,105"
"2015,41,0,1,108,154"
"2015,40,0,1,111,143"
"2015,39,0,1,115,148"
"2015,38,0,1,145,172"
"2015,37,0,1,160,205"
"2015,36,0,1,196,182"
"2015,35,0,1,194,225"
"2015,34,0,1,219,207"
"2015,33,0,1,232,265"
"2015,32,0,1,294,295"
"2015,31,0,1,304,363"
"2015,30,0,1,321,350"
"2015,29,0,1,373,372"
"2015,28,0,1,426,412"
"2015,27,0,1,482,438"
"2015,26,0,1,449,407"
"2015,25,0,1,389,401"
"2015,24,0,1,399,426"
"2015,23,0,1,407,469"
"2015,22,0,1,423,532"
"2015,21,0,1,521,631"
"2015,20,0,1,597,744"
"2015,19,0,1,719,1081"
"2015,18,0,1,939,989"
"2015,17,0,1,512,277"
"2015,16,0,1,503,162"
"2015,15,0,1,200,72"
"2015,14,0,1,53,59"
"2015,13,0,1,68,68"
"2015,12,0,1,86,90"
"2015,11,0,1,79,82"
"2015,10,0,1,65,90"
"2015,9,0,1,88,99"
"2015,8,0,1,83,121"
"2015,7,0,1,142,132"
"2015,6,0,1,230,128"
"2015,5,0,1,131,142"
"2015,4,0,1,136,134"
"2015,3,0,1,151,166"
"2015,2,0,1,156,162"
"2015,1,0,1,148,160"
"2015,0,0,1,92,103"
"2015,100,1,0,0,0"
"2015,99,1,0,0,0"
"2015,98,1,0,0,0"
"2015,97,1,0,0,0"
"2015,96,1,0,0,0"
"2015,95,1,0,0,0"
"2015,94,1,0,0,0"
"2015,93,1,0,0,0"
"2015,92,1,0,0,1"
"2015,91,1,0,1,1"
"2015,90,1,0,1,2"
"2015,89,1,0,2,0"
"2015,88,1,0,1,1"
"2015,87,1,0,2,2"
"2015,86,1,0,5,3"
"2015,85,1,0,1,5"
"2015,84,1,0,4,7"
"2015,83,1,0,5,5"
"2015,82,1,0,5,7"
"2015,81,1,0,6,6"
"2015,80,1,0,9,10"
"2015,79,1,0,14,10"
"2015,78,1,0,7,4"
"2015,77,1,0,5,8"
"2015,76,1,0,21,16"
"2015,75,1,0,28,22"
"2015,74,1,0,15,22"
"2015,73,1,0,16,17"
"2015,72,1,0,9,10"
"2015,71,1,0,5,5"
"2015,70,1,0,15,13"
"2015,69,1,0,21,13"
"2015,68,1,0,35,18"
"2015,67,1,0,29,28"
"2015,66,1,0,46,30"
"2015,65,1,0,50,42"
"2015,64,1,0,70,44"
"2015,63,1,0,58,40"
"2015,62,1,0,38,30"
"2015,61,1,0,65,36"
"2015,60,1,0,71,41"
"2015,59,1,0,77,57"
"2015,58,1,0,88,50"
"2015,57,1,0,92,46"
"2015,56,1,0,85,62"
"2015,55,1,0,102,72"
"2015,54,1,0,82,59"
"2015,53,1,0,79,53"
"2015,52,1,0,69,52"
"2015,51,1,0,93,54"
"2015,50,1,0,71,44"
"2015,49,1,0,67,56"
"2015,48,1,0,83,53"
"2015,47,1,0,79,57"
"2015,46,1,0,81,61"
"2015,45,1,0,97,71"
"2015,44,1,0,107,83"
"2015,43,1,0,95,82"
"2015,42,1,0,107,72"
"2015,41,1,0,104,102"
"2015,40,1,0,124,83"
"2015,39,1,0,129,101"
"2015,38,1,0,141,144"
"2015,37,1,0,129,120"
"2015,36,1,0,163,148"
"2015,35,1,0,154,148"
"2015,34,1,0,194,182"
"2015,33,1,0,180,190"
"2015,32,1,0,240,235"
"2015,31,1,0,205,203"
"2015,30,1,0,255,275"
"2015,29,1,0,278,272"
"2015,28,1,0,272,275"
"2015,27,1,0,267,279"
"2015,26,1,0,230,230"
"2015,25,1,0,241,237"
"2015,24,1,0,204,167"
"2015,23,1,0,181,184"
"2015,22,1,0,212,177"
"2015,21,1,0,227,200"
"2015,20,1,0,253,206"
"2015,19,1,0,462,240"
"2015,18,1,0,395,394"
"2015,17,1,0,209,378"
"2015,16,1,0,183,492"
"2015,15,1,0,108,195"
"2015,14,1,0,64,80"
"2015,13,1,0,69,58"
"2015,12,1,0,72,93"
"2015,11,1,0,92,108"
"2015,10,1,0,110,105"
"2015,9,1,0,96,100"
"2015,8,1,0,139,124"
