"Year,Age,ID_sex,ID_np,Population"
"1990,29,0,1,11329"
"1990,30,0,1,11169"
"1990,31,0,1,11313"
"1990,32,0,1,11338"
"1990,33,0,1,10561"
"1990,34,0,1,11186"
"1990,35,0,1,11405"
"1990,36,0,1,10150"
"1990,37,0,1,10586"
"1990,38,0,1,10315"
"1990,39,0,1,9615"
"1990,40,0,1,10180"
"1990,41,0,1,7954"
"1990,42,0,1,8097"
"1990,43,0,1,6934"
"1990,44,0,1,4447"
"1990,45,0,1,3241"
"1990,46,0,1,3076"
"1990,47,0,1,4455"
"1990,48,0,1,7128"
"1990,49,0,1,7345"
"1990,50,0,1,8566"
"1990,51,0,1,8149"
"1990,52,0,1,7759"
"1990,53,0,1,7127"
"1990,54,0,1,6506"
"1990,55,0,1,6153"
"1990,56,0,1,5590"
"1990,57,0,1,6726"
"1990,58,0,1,6523"
"1990,59,0,1,7010"
"1990,60,0,1,6491"
"1990,61,0,1,6821"
"1990,62,0,1,6298"
"1990,63,0,1,6400"
"1990,64,0,1,5936"
"1990,65,0,1,5618"
"1990,66,0,1,4863"
"1990,67,0,1,3669"
"1990,68,0,1,3774"
"1990,69,0,1,2798"
"1990,70,0,1,3720"
"1990,71,0,1,3894"
"1990,72,0,1,2895"
"1990,73,0,1,2804"
"1990,74,0,1,3237"
"1990,75,0,1,3658"
"1990,76,0,1,3251"
"1990,77,0,1,3222"
"1990,78,0,1,2990"
"1990,79,0,1,2780"
"1990,80,0,1,2357"
"1990,81,0,1,2194"
"1990,82,0,1,1902"
"1990,83,0,1,1630"
"1990,84,0,1,1295"
"1990,85,0,1,1072"
"1990,86,0,1,923"
"1990,87,0,1,670"
"1990,88,0,1,558"
"1990,89,0,1,399"
"1990,90,0,1,269"
"1990,91,0,1,213"
"1990,92,0,1,151"
"1990,93,0,1,98"
"1990,94,0,1,72"
"1990,95,0,1,35"
"1990,96,0,1,33"
"1990,97,0,1,25"
"1990,98,0,1,14"
"1990,99,0,1,42"
"1990,100,0,1,0"
"1990,0,0,0,4337"
"1990,1,0,0,4734"
"1990,2,0,0,5214"
"1990,3,0,0,5193"
"1990,4,0,0,4779"
"1990,5,0,0,4964"
"1990,6,0,0,5135"
"1990,7,0,0,4600"
"1990,8,0,0,4518"
"1990,9,0,0,4298"
"1990,10,0,0,4260"
