"Year,Age,ID_sex,ID_np,Birth"
"1991,15,1,0,7"
"1991,49,1,1,0"
"1991,48,1,1,0"
"1991,47,1,1,0"
"1991,46,1,1,0"
"1991,45,1,1,0"
"1991,44,1,1,3"
"1991,43,1,1,4"
"1991,42,1,1,12"
"1991,41,1,1,25"
"1991,40,1,1,30"
"1991,39,1,1,46"
"1991,38,1,1,55"
"1991,37,1,1,79"
"1991,36,1,1,117"
"1991,35,1,1,125"
"1991,34,1,1,163"
"1991,33,1,1,181"
"1991,32,1,1,224"
"1991,31,1,1,269"
"1991,30,1,1,310"
"1991,29,1,1,336"
"1991,28,1,1,374"
"1991,27,1,1,361"
"1991,26,1,1,415"
"1991,25,1,1,433"
"1991,24,1,1,466"
"1991,23,1,1,525"
"1991,22,1,1,565"
"1991,21,1,1,619"
"1991,20,1,1,624"
"1991,19,1,1,512"
"1991,18,1,1,299"
"1991,17,1,1,143"
"1991,16,1,1,43"
"1991,15,1,1,13"
"1992,15,1,1,13"
"1992,16,1,1,49"
"1992,17,1,1,147"
"1992,18,1,1,305"
"1992,19,1,1,462"
"1992,20,1,1,605"
"1992,21,1,1,598"
"1992,22,1,1,526"
"1992,23,1,1,464"
"1992,24,1,1,422"
"1992,25,1,1,385"
"1992,26,1,1,344"
"1992,27,1,1,313"
"1992,28,1,1,290"
"1992,29,1,1,271"
"1992,30,1,1,265"
"1992,31,1,1,234"
"1992,32,1,1,184"
"1992,33,1,1,167"
"1992,34,1,1,135"
"1992,35,1,1,106"
"1992,36,1,1,88"
"1992,37,1,1,69"
"1992,38,1,1,49"
"1992,39,1,1,33"
"1992,40,1,1,23"
"1992,41,1,1,19"
"1992,42,1,1,8"
"1992,43,1,1,6"
"1992,44,1,1,2"
"1992,45,1,1,1"
"1992,46,1,1,0"
"1992,47,1,1,0"
"1992,48,1,1,0"
"1992,49,1,1,0"
"1992,15,1,0,7"
"1992,16,1,0,27"
"1992,17,1,0,80"
"1992,18,1,0,166"
"1992,19,1,0,251"
"1992,20,1,0,329"
"1992,21,1,0,325"
"1992,22,1,0,286"
"1992,23,1,0,252"
"1992,24,1,0,229"
"1992,25,1,0,209"
"1992,26,1,0,187"
"1992,27,1,0,170"
"1992,28,1,0,157"
"1992,29,1,0,147"
"1992,30,1,0,144"
"1992,31,1,0,127"
"1992,32,1,0,100"
"1992,33,1,0,91"
"1992,34,1,0,73"
"1992,35,1,0,57"
"1992,36,1,0,48"
"1992,37,1,0,37"
"1992,38,1,0,27"
"1992,39,1,0,18"
"1992,40,1,0,12"
"1992,41,1,0,10"
"1992,42,1,0,4"
"1992,43,1,0,3"
"1992,44,1,0,1"
"1992,45,1,0,0"
"1992,46,1,0,0"
"1992,47,1,0,0"
"1992,48,1,0,0"
"1992,49,1,0,0"
"1992,15,0,1,13"
"1992,16,0,1,48"
"1992,17,0,1,142"
"1992,18,0,1,294"
"1992,19,0,1,445"
"1992,20,0,1,583"
"1992,21,0,1,576"
"1992,22,0,1,508"
"1992,23,0,1,447"
"1992,24,0,1,407"
"1992,25,0,1,371"
"1992,26,0,1,332"
"1992,27,0,1,302"
"1992,28,0,1,279"
"1992,29,0,1,261"
"1992,30,0,1,256"
"1992,31,0,1,226"
"1992,32,0,1,177"
"1992,33,0,1,161"
"1992,34,0,1,130"
"1992,35,0,1,102"
"1992,36,0,1,85"
"1992,37,0,1,67"
"1992,38,0,1,48"
"1992,39,0,1,32"
"1992,40,0,1,22"
"1992,41,0,1,19"
"1992,42,0,1,8"
"1992,43,0,1,6"
"1992,44,0,1,2"
"1992,45,0,1,1"
"1992,46,0,1,0"
"1992,47,0,1,0"
"1992,48,0,1,0"
"1992,49,0,1,0"
"1992,15,0,0,7"
"1992,16,0,0,26"
"1992,17,0,0,78"
"1992,18,0,0,162"
"1992,19,0,0,246"
"1992,20,0,0,322"
"1992,21,0,0,318"
"1992,22,0,0,280"
"1992,23,0,0,247"
"1992,24,0,0,224"
"1992,25,0,0,205"
"1992,26,0,0,183"
"1992,27,0,0,167"
"1992,28,0,0,154"
"1992,29,0,0,144"
"1992,30,0,0,141"
"1992,31,0,0,124"
"1992,32,0,0,98"
"1992,33,0,0,89"
"1992,34,0,0,72"
"1992,35,0,0,56"
"1992,36,0,0,47"
"1992,37,0,0,37"
"1992,38,0,0,26"
"1992,39,0,0,18"
"1992,40,0,0,12"
"1992,41,0,0,10"
"1992,42,0,0,4"
"1992,43,0,0,3"
"1992,44,0,0,1"
"1992,45,0,0,0"
"1992,46,0,0,0"
"1992,47,0,0,0"
"1992,48,0,0,0"
"1992,49,0,0,0"
"1993,49,0,0,0"
"1993,48,0,0,0"
"1993,47,0,0,0"
"1993,46,0,0,0"
"1993,45,0,0,0"
"1993,44,0,0,2"
"1993,43,0,0,2"
"1993,42,0,0,4"
"1993,41,0,0,8"
"1993,40,0,0,12"
"1993,39,0,0,14"
"1993,38,0,0,18"
"1993,37,0,0,25"
"1993,36,0,0,33"
"1993,35,0,0,44"
"1993,34,0,0,53"
"1993,33,0,0,61"
"1993,32,0,0,78"
"1993,31,0,0,80"
"1993,30,0,0,93"
"1993,29,0,0,97"
"1993,28,0,0,120"
"1993,27,0,0,132"
"1993,26,0,0,151"
"1993,25,0,0,161"
"1993,24,0,0,182"
"1993,23,0,0,205"
"1993,22,0,0,250"
"1993,21,0,0,282"
"1993,20,0,0,280"
"1993,19,0,0,238"
"1993,18,0,0,154"
"1993,17,0,0,70"
"1993,16,0,0,22"
"1993,15,0,0,7"
"1993,49,0,1,0"
"1993,48,0,1,0"
"1993,47,0,1,0"
"1993,46,0,1,1"
"1993,45,0,1,0"
"1993,44,0,1,5"
"1993,43,0,1,4"
"1993,42,0,1,8"
"1993,41,0,1,16"
"1993,40,0,1,23"
"1993,39,0,1,27"
"1993,38,0,1,34"
"1993,37,0,1,48"
"1993,36,0,1,63"
"1993,35,0,1,84"
"1993,34,0,1,101"
"1993,33,0,1,117"
"1993,32,0,1,149"
"1993,31,0,1,153"
"1993,30,0,1,177"
"1993,29,0,1,186"
"1993,28,0,1,228"
"1993,27,0,1,253"
"1993,26,0,1,288"
"1993,25,0,1,308"
"1993,24,0,1,348"
"1993,23,0,1,392"
"1993,22,0,1,478"
"1993,21,0,1,537"
"1993,20,0,1,535"
"1993,19,0,1,455"
"1993,18,0,1,294"
"1993,17,0,1,134"
"1993,16,0,1,43"
"1993,15,0,1,13"
"1993,49,1,0,0"
"1993,48,1,0,0"
"1993,47,1,0,0"
"1993,46,1,0,0"
"1993,45,1,0,0"
"1993,44,1,0,3"
"1993,43,1,0,2"
"1993,42,1,0,4"
"1993,41,1,0,9"
"1993,40,1,0,13"
"1993,39,1,0,15"
"1993,38,1,0,19"
"1993,37,1,0,26"
"1993,36,1,0,35"
"1993,35,1,0,46"
"1993,34,1,0,56"
"1993,33,1,0,64"
"1993,32,1,0,82"
"1993,31,1,0,84"
"1993,30,1,0,97"
"1993,29,1,0,102"
"1993,28,1,0,125"
"1993,27,1,0,139"
"1993,26,1,0,158"
"1993,25,1,0,169"
"1993,24,1,0,191"
"1993,23,1,0,215"
"1993,22,1,0,263"
"1993,21,1,0,295"
"1993,20,1,0,294"
"1993,19,1,0,250"
"1993,18,1,0,162"
"1993,17,1,0,74"
"1993,16,1,0,24"
"1993,15,1,0,7"
"1993,49,1,1,0"
"1993,48,1,1,0"
"1993,47,1,1,0"
"1993,46,1,1,1"
"1993,45,1,1,0"
"1993,44,1,1,5"
"1993,43,1,1,4"
"1993,42,1,1,8"
"1993,41,1,1,16"
"1993,40,1,1,24"
"1993,39,1,1,28"
"1993,38,1,1,35"
"1993,37,1,1,50"
"1993,36,1,1,65"
"1993,35,1,1,86"
"1993,34,1,1,104"
"1993,33,1,1,120"
"1993,32,1,1,153"
"1993,31,1,1,157"
"1993,30,1,1,182"
"1993,29,1,1,191"
"1993,28,1,1,235"
"1993,27,1,1,260"
"1993,26,1,1,296"
"1993,25,1,1,317"
"1993,24,1,1,357"
"1993,23,1,1,403"
"1993,22,1,1,491"
"1993,21,1,1,552"
"1993,20,1,1,549"
"1993,19,1,1,467"
"1993,18,1,1,303"
"1993,17,1,1,138"
"1993,16,1,1,45"
"1993,15,1,1,13"
