"Year,Age,ID_sex,ID_np,Died"
"1990,42,0,1,15"
"1990,43,0,1,15"
"1990,44,0,1,14"
"1990,45,0,1,3"
"1990,46,0,1,13"
"1990,47,0,1,11"
"1990,48,0,1,31"
"1990,49,0,1,27"
"1990,50,0,1,36"
"1990,51,0,1,32"
"1990,52,0,1,36"
"1990,53,0,1,53"
"1990,54,0,1,29"
"1990,55,0,1,37"
"1990,56,0,1,45"
"1990,57,0,1,44"
"1990,58,0,1,47"
"1990,59,0,1,71"
"1990,60,0,1,74"
"1990,61,0,1,62"
"1990,62,0,1,99"
"1990,63,0,1,97"
"1990,64,0,1,121"
"1990,65,0,1,88"
"1990,66,0,1,115"
"1990,67,0,1,103"
"1990,68,0,1,93"
"1990,69,0,1,105"
"1990,70,0,1,92"
"1990,71,0,1,134"
"1990,72,0,1,111"
"1990,73,0,1,117"
"1990,74,0,1,116"
"1990,75,0,1,154"
"1990,76,0,1,188"
"1990,77,0,1,209"
"1990,78,0,1,247"
"1990,79,0,1,230"
"1990,80,0,1,206"
"1990,81,0,1,215"
"1990,82,0,1,245"
"1990,83,0,1,201"
"1990,84,0,1,183"
"1990,85,0,1,158"
"1990,86,0,1,159"
"1990,87,0,1,143"
"1990,88,0,1,103"
"1990,89,0,1,103"
"1990,90,0,1,68"
"1990,91,0,1,49"
"1990,92,0,1,44"
"1990,93,0,1,37"
"1990,94,0,1,27"
"1990,95,0,1,15"
"1990,96,0,1,14"
"1990,97,0,1,5"
"1990,98,0,1,3"
"1990,99,0,1,1"
"1990,100,0,1,12"
"1990,0,0,0,53"
"1990,1,0,0,8"
"1990,2,0,0,6"
"1990,3,0,0,2"
"1990,4,0,0,7"
"1990,5,0,0,4"
"1990,6,0,0,3"
"1990,7,0,0,2"
"1990,8,0,0,1"
"1990,9,0,0,5"
"1990,10,0,0,1"
"1990,11,0,0,1"
"1990,12,0,0,0"
"1990,13,0,0,1"
"1990,14,0,0,3"
"1990,15,0,0,1"
"1990,16,0,0,1"
"1990,17,0,0,2"
"1990,18,0,0,0"
"1990,19,0,0,2"
"1990,20,0,0,6"
"1990,21,0,0,1"
"1990,22,0,0,3"
"1990,23,0,0,4"
"1990,24,0,0,8"
"1990,25,0,0,5"
"1990,26,0,0,3"
"1990,27,0,0,3"
"1990,28,0,0,2"
"1990,29,0,0,3"
"1990,30,0,0,9"
"1990,31,0,0,2"
"1990,32,0,0,4"
"1990,33,0,0,11"
"1990,34,0,0,5"
"1990,35,0,0,9"
"1990,36,0,0,6"
"1990,37,0,0,6"
"1990,38,0,0,1"
"1990,39,0,0,10"
"1990,40,0,0,7"
"1990,41,0,0,5"
"1990,42,0,0,6"
"1990,43,0,0,8"
"1990,44,0,0,2"
"1990,45,0,0,4"
"1990,46,0,0,4"
"1990,47,0,0,4"
"1990,48,0,0,7"
"1990,49,0,0,15"
"1990,50,0,0,21"
"1990,51,0,0,21"
"1990,52,0,0,23"
"1990,53,0,0,22"
"1990,54,0,0,26"
"1990,55,0,0,26"
"1990,56,0,0,25"
"1990,57,0,0,29"
"1990,58,0,0,43"
"1990,59,0,0,45"
"1990,60,0,0,51"
"1990,61,0,0,45"
"1990,62,0,0,61"
"1990,63,0,0,53"
"1990,64,0,0,47"
"1990,65,0,0,62"
"1990,66,0,0,69"
"1990,67,0,0,39"
"1990,68,0,0,59"
"1990,69,0,0,40"
"1990,70,0,0,52"
"1990,71,0,0,76"
"1990,72,0,0,63"
"1990,73,0,0,51"
"1990,74,0,0,63"
"1990,75,0,0,82"
"1990,76,0,0,88"
"1990,77,0,0,118"
"1990,78,0,0,127"
"1990,79,0,0,119"
"1990,80,0,0,134"
"1990,81,0,0,114"
"1990,82,0,0,122"
"1990,83,0,0,132"
"1990,84,0,0,104"
"1990,85,0,0,79"
"1990,86,0,0,83"
"1990,87,0,0,69"
"1990,88,0,0,60"
"1990,89,0,0,51"
"1990,90,0,0,45"
"1990,91,0,0,18"
"1990,92,0,0,28"
"1990,93,0,0,13"
"1990,100,0,0,4"
"1990,94,0,0,14"
"1990,95,0,0,11"
"1990,96,0,0,8"
"1990,97,0,0,8"
"1990,98,0,0,1"
"1990,99,0,0,3"
"1991,99,0,0,0"
"1991,98,0,0,6"
"1991,97,0,0,5"
"1991,96,0,0,6"
"1991,95,0,0,9"
"1991,94,0,0,7"
"1991,100,0,0,6"
"1991,93,0,0,13"
"1991,92,0,0,8"
"1991,91,0,0,24"
"1991,90,0,0,31"
"1991,89,0,0,51"
"1991,88,0,0,66"
"1991,87,0,0,85"
"1991,86,0,0,74"
"1991,85,0,0,95"
"1991,84,0,0,115"
"1991,83,0,0,122"
"1991,82,0,0,107"
"1991,81,0,0,129"
"1991,80,0,0,125"
"1991,79,0,0,146"
"1991,78,0,0,102"
"1991,77,0,0,106"
"1991,76,0,0,110"
"1991,75,0,0,79"
"1991,74,0,0,53"
"1991,73,0,0,63"
"1991,72,0,0,57"
"1991,71,0,0,51"
"1991,70,0,0,41"
"1991,69,0,0,45"
"1991,68,0,0,38"
"1991,67,0,0,70"
"1991,66,0,0,50"
"1991,65,0,0,53"
"1991,64,0,0,51"
"1991,63,0,0,69"
"1991,62,0,0,44"
"1991,61,0,0,45"
"1991,60,0,0,42"
"1991,59,0,0,31"
"1991,58,0,0,45"
"1991,57,0,0,24"
"1991,56,0,0,25"
"1991,55,0,0,19"
"1991,54,0,0,25"
"1991,53,0,0,18"
"1991,52,0,0,22"
"1991,51,0,0,20"
"1991,50,0,0,13"
"1991,49,0,0,11"
"1991,48,0,0,3"
"1991,47,0,0,5"
"1991,46,0,0,4"
"1991,45,0,0,5"
"1991,44,0,0,7"
"1991,43,0,0,6"
"1991,42,0,0,6"
"1991,41,0,0,7"
"1991,40,0,0,7"
"1991,39,0,0,7"
"1991,38,0,0,5"
"1991,37,0,0,4"
"1991,36,0,0,4"
"1991,35,0,0,5"
"1991,34,0,0,8"
"1991,33,0,0,5"
"1991,32,0,0,5"
"1991,31,0,0,7"
"1991,30,0,0,9"
"1991,29,0,0,6"
"1991,28,0,0,3"
"1991,27,0,0,9"
"1991,26,0,0,6"
"1991,25,0,0,1"
