iter	RMSE
0	2853.610253
1	2819.999578
2	2790.701124
3	2769.152236
4	2737.41741
5	2716.254661
6	2696.014144
7	2672.833928
8	2643.745227
9	2618.039994
10	2601.835545
11	2570.666891
12	2553.270429
13	2526.768407
14	2495.987807
15	2470.388329
16	2444.393491
17	2418.012758
18	2398.091959
19	2375.534187
20	2349.663671
21	2334.228269
22	2304.905623
23	2278.241622
24	2254.90052
25	2227.907771
26	2205.963537
27	2183.011574
28	2159.934615
29	2135.993079
30	2112.042496
31	2089.02114
32	2064.309521
33	2044.534267
34	2019.234571
35	1994.624797
36	1975.344444
37	1958.450196
38	1934.892562
39	1912.034152
40	1892.577478
41	1876.131073
42	1855.049296
43	1839.770464
44	1821.435524
45	1809.323759
46	1792.121847
47	1774.3158
48	1762.623867
49	1744.749466
50	1725.428523
51	1705.689861
52	1693.707751
53	1677.276985
54	1661.636547
55	1643.792124
56	1624.115682
57	1609.817488
58	1595.861296
59	1581.446231
60	1563.762134
61	1545.593867
62	1528.540023
63	1515.450714
64	1506.757321
65	1492.791646
66	1476.305107
67	1461.969677
68	1449.918995
69	1435.604131
70	1420.697722
71	1408.923274
72	1398.059559
73	1387.263102
74	1377.943747
75	1366.697611
76	1355.61309
77	1341.410835
78	1327.747426
79	1316.561905
80	1302.729953
81	1290.85844
82	1276.369533
83	1266.152575
84	1254.638061
85	1244.816866
86	1233.51011
87	1222.667124
88	1218.562494
89	1208.034837
90	1195.554408
91	1184.201941
92	1177.197562
93	1167.144114
94	1158.45001
95	1151.688955
96	1138.71759
97	1127.19994
98	1120.255245
99	1110.435206
100	1101.082232
101	1090.898752
102	1080.912343
103	1070.231007
104	1062.032652
105	1051.621909
106	1041.320613
107	1030.810538
108	1024.056839
109	1014.928874
110	1008.410658
111	1000.51876
112	994.1817176
113	984.5428477
114	979.347544
115	969.80335
116	962.7797943
117	958.575093
118	950.2604673
119	942.1070964
120	933.5135352
121	926.5485879
122	921.0373451
123	914.3636127
124	909.359596
125	899.805109
126	891.9901528
127	882.883591
128	878.3135079
129	870.4354327
130	861.711013
131	855.0769384
132	846.4991723
133	840.3131923
134	834.3085995
135	830.26764
136	823.8789593
137	817.5650177
138	811.8413149
139	804.3080329
140	798.144227
141	791.6935175
142	786.4374957
143	780.8687518
144	778.2487459
145	773.8115372
146	767.9134467
147	761.4866898
148	756.554365
149	751.2359995
150	747.5122485
151	742.1661686
152	738.5599173
153	734.2312517
154	732.9130288
155	728.1055029
156	721.7732589
157	716.97249
158	711.2623198
159	708.1610589
160	705.9437633
161	701.4279829
162	698.6718823
163	694.7423445
164	692.7476952
165	687.4743351
166	682.6592248
167	677.4670489
168	673.881097
169	669.0400273
170	664.5639208
171	659.335587
172	654.3548953
173	650.2775765
174	646.2681495
175	642.457118
176	639.9465233
177	635.4398228
178	631.281577
179	626.7119624
180	623.2229077
181	619.2053166
182	614.919063
183	613.3189202
184	610.7232499
185	608.5063296
186	606.2433295
187	602.0308551
188	600.5284007
189	597.6960535
190	594.8213763
191	590.4515761
192	586.0185497
193	582.6323219
194	581.4300804
195	576.0502266
196	571.9514908
197	570.6914528
198	567.1239643
199	564.8809808
200	562.3014927
201	560.0954299
202	556.5090445
203	554.5956836
204	551.7675169
205	549.0618662
206	548.0771676
207	544.6938631
208	540.8903162
209	538.0773265
210	534.9103765
211	532.6404771
212	530.4910093
213	528.5328093
214	524.5611105
215	522.944088
216	520.536452
217	518.3379403
218	516.6009572
219	514.6042418
220	512.339058
